x1;x2;x3;x4;y
5,9;5,699;5,07;5,906;1
6,881;6,138;5,792;6,51;1
5,796;6,068;6,865;5,585;1
5,088;4,9;6,629;5,782;1
6,859;5,524;6,725;6,28;1
5,775;7,273;6,309;4,731;1
6,445;7,541;5,371;6,063;1
5,526;5,517;6,236;4,487;1
6,144;4,927;6,353;4,765;1
5,544;5,857;6,83;7,166;1
6,316;5,674;4,989;6,445;1
6,732;6,722;5,273;5,444;1
4,967;6,87;5,057;5,372;1
6,563;5,516;6,803;5,718;1
5,829;6,349;6,394;6,304;1
5,612;7,225;6,188;6,756;1
4,865;6,732;5,442;4,57;1
4,71;6,018;5,11;5,61;1
7,635;5,116;5,774;6,436;1
6,59;7,586;5,963;6,617;1
6,484;5,547;6,112;6,945;1
8,058;6,507;6,266;6,341;1
6,015;6,05;7,314;5,141;1
5,611;6,138;5,609;6,835;1
5,947;4,57;5,544;6,554;1
6,546;6,145;6,027;6,102;1
6,161;6,446;6,409;5,974;1
5,797;6,035;6,946;5,452;1
7,222;6,073;6,245;7,665;1
5,904;5,404;5,935;5,987;1
6,435;5,745;5,451;7,257;1
6,471;6,961;5,7;5,122;1
8,337;4,294;6,574;5,315;1
6,095;5,688;6,56;5,114;1
4,866;5,972;4,848;6,259;1
6,434;6,29;6,296;5,759;1
6,024;4,539;5,384;6,675;1
8,016;6,089;6,971;4,957;1
6,504;5,028;5,777;7,289;1
6,236;6,166;4,731;6,342;1
6,464;5,797;5,307;6,496;1
6,64;7,239;4,744;5,836;1
5,54;5,96;5,954;4,655;1
5,204;7,04;5,355;5,002;1
5,348;4,917;5,105;6,008;1
6,834;5,3;5,655;5,894;1
5,153;5,519;5,864;6,736;1
4,835;6,74;7,327;4,886;1
5,86;6,863;5,454;4,598;1
4,677;6,575;4,729;5,92;1
6,145;6,482;6,89;4,345;1
5,75;5,95;5,695;4,944;1
6,305;4,533;6,792;6,105;1
5,364;6,116;6,987;6,075;1
7,066;6,938;7,323;5,28;1
5,548;5,675;5,707;6,994;1
5,754;7,233;5,564;4,481;1
6,949;5,606;6,461;5,293;1
4,818;5,603;8,03;6,232;1
6,132;7,147;5,371;4,934;1
4,579;6,568;5,274;5,872;1
5,243;7,09;5,941;5,987;1
5,781;6,564;5,765;5,435;1
6,294;5,427;4,562;4,963;1
6,931;5,437;4,916;5,42;1
6,103;5,811;6,628;5,774;1
5,809;8,035;5,847;7,993;1
6,059;4,818;5,719;6,425;1
5,361;4,585;5,251;5,394;1
6,271;6,789;6,178;5,434;1
5,922;5,163;5,905;5,871;1
5,526;6,137;5,728;8,048;1
6,072;6,252;4,382;6,629;1
6,05;5,304;6,509;5,128;1
5,892;7,094;5,985;5,743;1
6,321;5,544;4,776;4,605;1
5,978;4,534;6,697;5,78;1
6,056;4,473;7,065;5,688;1
5,311;6,329;6,579;6,477;1
6,586;5,32;5,995;4,129;1
6,797;7,871;5,208;4,841;1
6,257;6,084;6,275;5,736;1
5,008;5,854;6,766;6,513;1
4,96;6,884;6,202;5,061;1
6,334;5,26;5,553;6,178;1
5,983;4,348;6,202;6,153;1
4,739;7,114;5,518;7,373;1
5,335;5,159;6,099;5,252;1
5,209;6,106;5,509;4,864;1
7,027;6,123;6,783;4,832;1
5,993;6,449;4,548;6,616;1
5,699;4,778;7,033;5,86;1
6,317;6,239;6,709;5,475;1
6,073;5,217;5,425;5,437;1
6,959;5,859;5,691;6,373;1
5,789;5,616;6,254;5,284;1
3,798;6,533;5,285;5,626;1
5,137;4,698;6,921;5,937;1
5,476;4,137;5,207;4,816;1
6,213;6,992;6,531;6,646;1
5,965;5,739;5,945;7,303;1
6,164;5,324;6,438;6,564;1
6,662;6,117;4,196;6,648;1
6,68;5,089;5,542;5,978;1
5,582;6,139;6,545;5,75;1
5,399;7,07;7,594;5,859;1
6,107;6,411;7,144;6,408;1
6,798;5,446;7,156;5,918;1
6,593;6,785;6,782;5,317;1
6,333;4,727;6,584;6,713;1
5,82;6,642;6,6;5,296;1
5,432;5,279;6,257;6,532;1
5,036;5,068;5,028;6,294;1
7,209;5,206;6,726;6,232;1
6,013;5,731;6,384;6,591;1
6,76;7,209;5,419;3,601;1
6,1;7,451;5,965;6,87;1
5,005;6,147;5,862;4,99;1
6,712;5,67;6,505;5,208;1
7,121;6,136;6,196;6,878;1
7,129;6,549;7,821;6,445;1
5,573;5,383;6,941;6,326;1
6,286;5,92;5,458;5,857;1
5,488;5,563;5,446;4,96;1
6,543;6,312;6,015;4,964;1
6,107;5,666;5,147;6,009;1
6,132;6,402;5,586;5,882;1
5,633;6,775;4,977;6,097;1
5,934;5,28;7,432;6,665;1
6,393;5,293;6,269;5,513;1
4,711;6,817;5,64;7,042;1
7,83;6,738;5,416;5,916;1
5,977;6,72;5,728;6,96;1
5,713;6,268;6,177;5,467;1
5,751;7,008;5,542;5,754;1
4,909;4,738;7,36;5,994;1
6,746;7,184;6,483;6,072;1
4,813;5,938;5,607;7,453;1
7,386;6,839;6,719;5,763;1
5,746;6,778;5,709;4,681;1
5,348;4,824;7,115;5,475;1
6,061;5,495;5,739;6,657;1
4,726;6,365;5,115;5,586;1
6,536;6,868;5,54;6,697;1
5,052;4,541;4,86;5,149;1
5,905;6,165;7,176;6,95;1
5,49;4,091;5,563;6,966;1
5,389;6,565;6,315;6,668;1
6,405;6,288;5,54;5,249;1
5,026;5,483;5,888;5,476;1
5,297;4,491;4,948;7,129;1
6,346;5,122;5,914;6,582;1
6,363;6,708;5,535;6,868;1
5,927;5,679;4,807;5,703;1
6,764;4,814;6,65;5,848;1
4,817;5,815;6,088;7,367;1
6,261;7,471;5,714;5,61;1
4,694;6,976;8,42;7,599;1
5,438;3,736;6,624;6,659;1
5,421;6,226;6,359;5,248;1
6,568;5,326;5,855;3,669;1
6,456;5,593;7,7;7,047;1
5,923;4,823;6,478;5,28;1
6,332;6,064;7,109;7,253;1
6,014;5,117;5,837;5,923;1
6,284;6,049;4,588;5,277;1
7,69;4,496;6,452;5,697;1
4,931;5,129;5,747;7,092;1
5,357;6,04;6,158;6,073;1
5,236;5,779;7,504;4,952;1
5,052;7,13;7,314;4,005;1
4,714;5,965;5,497;5,275;1
6,554;5,641;6,557;6,03;1
5,207;6,568;5,429;6,669;1
7,289;6,924;6,303;5,526;1
5,198;6,398;6,609;4,737;1
6,042;6,457;4,965;5,472;1
6,425;6,455;5,667;6,648;1
5,109;5,318;7,7;6,315;1
5,65;5,452;6,271;5,082;1
5,463;4,544;7,347;7,141;1
4,848;6,73;7,437;6,909;1
6,607;6,603;6,186;5,599;1
6,208;5,765;5,526;6,624;1
7,325;5,9;5,113;4,797;1
5,332;6,671;6,464;6,064;1
5,741;6,271;7,337;6,599;1
5,836;6,07;6,031;6,167;1
5,355;5,627;5,379;7,423;1
5,663;7,522;6,778;5,299;1
6,83;6,629;6,256;5,207;1
6,427;6,679;5,422;5,578;1
6,041;6,694;6,059;5,638;1
4,881;6,684;5,019;7,704;1
6,633;6,016;6,695;5,99;1
5,972;6,865;5,51;7,381;1
7,276;5,927;6,39;5,712;1
6,284;5,693;7,259;6,482;1
5,919;6,104;5,597;6,632;1
6,158;6,721;4,625;6,512;1
6,037;4,996;6,613;4,688;1
5,957;6,452;4,753;4,476;1
6,123;6,178;6,809;5,673;1
5,519;6,981;7,246;5,978;1
6,557;4,971;7,145;5,856;1
6,265;5,837;5,515;4,941;1
6,875;5,292;5,505;3,805;1
5,141;6,441;6,163;6,336;1
5,216;5,062;6,928;5,975;1
6,065;6,028;5,506;5,709;1
4,913;6,675;6,841;5,769;1
5,515;6,3;6,416;4,787;1
6,422;5,77;6,555;5,723;1
5,029;6,081;4,998;6,209;1
5,453;5,952;5,783;6,299;1
6,114;7,486;6,361;5,803;1
5,876;6,239;5,775;5,838;1
8,209;6,247;5,439;6,457;1
5,875;6,335;5,434;6,34;1
6,094;6,174;7,021;5,375;1
5,595;5,861;5,903;5,058;1
6,313;6,114;4,8;5,999;1
6,333;6,498;5,992;5,642;1
6,014;5,449;6,235;5,959;1
7,181;5,738;4,822;6,852;1
6,995;7,27;6,985;6,006;1
5,444;7,112;6,14;5,195;1
6,365;6,064;6,454;5,947;1
6,369;5,142;6,39;6,58;1
5,849;6,516;6,688;7,091;1
6,427;5,252;5,435;5,306;1
6,399;5,743;6,297;6,207;1
5,568;4,943;7,165;5,68;1
4,799;4,183;6,049;6,475;1
5,197;6,587;5,522;6,613;1
