x1;x2;x3;y
9,062;8,662;10,087;2
8,613;9,646;8,581;2
8,938;8,944;8,991;2
8,967;8,356;9,088;2
9,511;8,487;8,478;2
8,716;8,733;8,759;2
8,878;9,188;8,361;2
8,077;10,493;10,121;2
8,964;8,144;8,653;2
8,805;9,897;9,026;2
9,204;8,928;9,932;2
7,791;8,885;9,416;2
8,509;9,898;9,618;2
8,532;8,031;8,192;2
9,21;7,956;7,714;2
8,18;9,212;7,465;2
8,271;9,087;9,535;2
10,483;8,158;9,573;2
8,332;10,902;7,058;2
8,648;10,961;8,253;2
8,22;9,606;9,363;2
10,076;8,659;8,592;2
8,998;9,591;8,074;2
7,551;8,417;8,609;2
8,065;10,378;10,317;2
10,886;8,43;9,623;2
9,656;8,434;8,657;2
10,623;9,731;10,106;2
10,263;10,193;7,938;2
9,129;8,577;10,478;2
8,853;8,955;9,497;2
9,28;9,615;9,182;2
9,033;8,661;9,692;2
8,021;8,966;9,879;2
9,522;9,79;9,827;2
9,866;10,18;9,264;2
9,399;8,348;9,935;2
9,287;9,026;9,728;2
9,032;7,898;8,056;2
7,871;8,709;8,558;2
9,788;9,381;8,29;2
8,41;9,948;8,706;2
9,735;9,491;8,527;2
10,077;9,261;9,439;2
7,79;9,417;8,568;2
9,744;8,765;8,223;2
10,568;9,94;9,304;2
9,666;8,113;9,335;2
9,076;7,569;9,785;2
9,717;8,187;10,023;2
8,768;9,887;9,13;2
8,139;9,649;9,176;2
7,78;10,058;9,899;2
8,464;8,17;10,29;2
8,714;9,325;8,995;2
8,961;8,649;9,151;2
8,585;8,289;7,798;2
9,03;9,489;9,333;2
9,726;9,415;8,942;2
8,696;8,285;9,18;2
